f,type,offset,first_harmonic,last_harmonic,left_width,right_width,comment
1.9464,1,21.4639,0,20,0.001,0.001,% Unknown comb
1.9464,1,29.2767,0,14,0.001,0.001,% Unknown comb
1.9464,1,29.3031,0,14,0.001,0.001,% Unknown comb
1.946428,1,83.7233,0,14,0.0003,0.0003,% Unknown comb
1.946389,1,27.2367,0,12,0.0005,0.0005,% Unknown comb
2.20458,1,0.,10,21,0.0005,0.0005,% Unknown comb
2.202136,1,0.,11,22,0.0005,0.0005,% Unknown comb
3.89284,1,37.0226,0,5,0.0005,0.0005,% Unknown comb
4.00000,1,27.7633,0,4,0.0015,0.0015,% Unknown comb
11.92117,1,19.8422,0,6,0.0008,0.0008,% Unknown comb
11.985395,2,0.0,1,22,0.0008,0.0004,% Unknown comb
66.665,1,0.0,1,2,0.001,0.001,% Unknown comb
99.99928,1,0.0,1,20,0.0003,0.0003,% Unknown comb
14.000000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
19.800000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
22.700000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
25.600000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
28.500000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
31.400000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
33.800000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
34.300000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
36.700000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
37.200000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
39.600000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
42.500000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
45.400000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
45.900000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
47.800000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
48.300000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
51.200000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
53.600000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
54.100000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
56.500000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
57.000000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
62.300000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
62.800000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
63.300000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
65.200000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
65.700000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
67.600000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
68.100000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
68.600000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
71.000000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
71.500000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
73.400000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
73.900000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
74.400000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
74.900000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
76.300000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
76.800000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
77.300000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
77.800000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
79.200000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
79.700000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
80.200000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
80.700000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
82.100000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
82.600000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
83.600000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
85.000000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
85.500000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
86.000000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
86.500000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
87.900000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
88.400000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
90.300000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
90.800000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
91.300000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
93.700000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
94.200000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
96.600000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
97.100000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
99.000000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
99.500000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
101.900000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
102.400000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
102.900000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
104.800000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
105.300000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
107.200000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
107.700000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
108.200000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
110.600000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
111.100000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
113.000000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
113.500000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
114.000000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
116.400000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
116.900000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
119.300000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
121.700000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
122.200000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
122.700000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
124.600000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
125.100000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
125.600000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
127.500000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
128.000000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
128.500000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
129.900000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
130.400000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
130.900000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
133.300000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
136.200000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
136.700000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
139.100000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
141.500000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
142.000000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
142.500000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
144.400000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
144.900000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
145.400000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
147.300000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
147.800000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
148.300000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
150.700000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
153.100000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
153.600000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
154.100000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
156.500000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
157.000000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
158.400000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
158.900000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
159.400000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
161.300000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
161.800000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
162.300000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
164.700000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
165.200000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
167.600000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
168.100000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
170.500000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
171.000000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
171.500000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
172.000000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
173.400000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
173.900000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
174.400000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
175.800000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
176.300000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
178.700000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
179.200000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
181.600000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
182.100000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
182.600000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
184.500000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
185.000000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
187.400000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
187.900000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
190.300000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
193.200000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
193.700000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
196.100000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
198.500000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
199.000000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
199.500000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
201.400000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
201.900000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
204.300000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
204.800000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
206.700000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
207.200000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
207.700000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
209.600000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
210.600000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
212.500000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
213.000000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
213.500000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
215.400000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
215.900000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
216.400000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
216.900000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
218.800000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
219.300000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
221.200000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
221.700000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
222.200000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
224.100000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
224.600000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
227.500000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
228.000000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
229.900000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
232.800000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
233.300000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
235.200000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
235.700000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
236.200000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
238.600000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
239.100000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
239.600000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
241.000000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
241.500000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
242.000000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
244.400000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
247.300000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
249.700000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
250.200000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
252.600000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
253.100000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
255.500000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
256.000000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
256.500000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
257.900000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
258.400000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
258.900000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
259.400000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
261.300000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
264.200000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
264.700000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
267.100000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
267.600000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
269.500000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
270.000000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
270.500000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
272.900000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
275.300000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
275.800000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
278.200000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
278.700000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
279.200000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
281.100000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
281.600000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
284.000000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
286.900000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
289.800000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
292.700000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
295.100000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
295.600000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
298.000000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
298.500000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
300.900000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
303.800000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
304.300000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
306.700000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
307.200000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
309.600000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
310.100000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
310.600000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
312.500000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
315.400000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
318.300000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
318.800000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
321.200000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
323.600000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
324.100000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
324.600000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
326.500000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
327.000000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
329.900000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
334.700000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
335.200000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
335.700000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
338.100000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
340.500000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
341.000000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
341.500000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
343.900000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
346.800000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
349.200000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
352.100000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
352.600000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
355.500000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
357.900000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
358.400000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
360.800000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
363.700000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
364.200000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
366.100000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
366.600000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
367.100000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
369.500000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
371.900000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
372.400000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
372.900000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
375.300000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
377.700000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
380.600000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
381.100000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
383.500000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
386.400000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
389.300000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
389.800000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
391.700000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
392.200000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
395.100000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
397.500000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
398.000000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
400.400000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
400.900000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
401.400000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
402.800000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
403.300000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
403.800000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
405.700000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
406.200000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
406.700000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
407.200000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
409.100000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
411.500000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
412.000000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
412.500000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
414.400000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
414.900000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
415.400000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
415.900000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
417.300000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
417.800000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
420.700000,0,0.0,1,1,0.0003,0.0003,% Line in the weird comb
